sample_id,model,language,mean_sim
555,fire,ru,0.9999998807907104
555,global,ru,0.9325723648071289
555,water,ru,1.0000001192092896
558,earth,zh,0.9592113494873047
558,fire,zh,0.9564617276191711
558,global,zh,0.8869897723197937
558,water,zh,0.9764598608016968
560,earth,ru,0.8847882151603699
560,fire,ru,0.9039023518562317
560,global,ru,0.8488262295722961
560,water,ru,0.9425060153007507
563,earth,de,0.9999998211860657
563,earth,zh,0.9911160469055176
563,fire,de,0.9999998211860657
563,fire,zh,0.9935186505317688
563,global,de,0.8633028268814087
563,global,zh,0.992213249206543
563,water,de,0.9999998211860657
563,water,zh,0.9911160469055176
566,earth,zh,0.903581976890564
566,fire,zh,0.9157571792602539
566,global,zh,0.9991024732589722
566,water,zh,0.9856036901473999
567,earth,de,0.9318456649780273
567,fire,de,0.8768302202224731
567,global,de,1.0000001192092896
567,water,de,0.9097787737846375
579,earth,en,1.000000238418579
579,fire,en,1.000000238418579
579,global,en,1.000000238418579
579,water,en,1.000000238418579
587,earth,zh,0.6385505795478821
587,fire,zh,0.5072581171989441
587,global,zh,0.6944812536239624
587,water,zh,0.4710259437561035
590,earth,ar,0.9200161099433899
590,earth,zh,0.8224091529846191
590,fire,ar,0.9378933906555176
590,fire,zh,0.877284049987793
590,global,ar,0.9397784471511841
590,global,zh,0.8958536386489868
590,water,ar,0.9247821569442749
590,water,zh,0.8910271525382996
594,earth,ar,0.9096938371658325
594,fire,ar,0.8069406747817993
594,global,ar,0.7864288091659546
594,water,ar,0.9822721481323242
597,earth,en,0.9865211248397827
597,fire,en,0.9865211248397827
597,global,en,1.0
597,water,en,0.9910141229629517
610,earth,ru,0.9636760950088501
610,fire,ru,0.8531211018562317
610,global,ru,0.808343231678009
610,water,ru,0.9146184921264648
614,earth,zh,0.8216525912284851
614,fire,zh,0.8979169130325317
614,global,zh,0.7677869200706482
614,water,zh,0.7883797287940979
618,earth,ar,0.8923065066337585
618,fire,ar,0.869554340839386
618,global,ar,0.8071380853652954
618,water,ar,0.9332040548324585
625,earth,zh,0.8864423036575317
625,fire,zh,0.7463120222091675
625,global,zh,0.7497838735580444
625,water,zh,0.7487858533859253
628,earth,ar,0.7785311937332153
628,fire,ar,0.855345606803894
628,global,ar,0.8540050387382507
628,water,ar,0.7049614191055298
633,earth,de,0.8854979276657104
633,fire,de,0.85407954454422
633,global,de,0.9999998807907104
633,water,de,0.7642291188240051
638,earth,th,0.9929801821708679
638,fire,th,0.994013786315918
638,global,th,0.9999998807907104
638,water,th,0.9953489303588867
639,earth,de,0.8539938926696777
639,fire,de,0.8576153516769409
639,global,de,0.9545353055000305
639,water,de,0.8480263948440552
640,earth,en,0.8702783584594727
640,earth,zh,0.8713731169700623
640,fire,en,0.8643848299980164
640,fire,zh,0.6660722494125366
640,global,en,0.8152675628662109
640,global,zh,0.9984992742538452
640,water,en,0.8681803941726685
640,water,zh,0.893879234790802
641,earth,de,0.8789104223251343
641,fire,de,0.8654556274414062
641,global,de,0.8706687092781067
641,water,de,0.8415272831916809
642,earth,en,0.9999998807907104
642,fire,en,0.9999998807907104
642,global,en,0.9999998807907104
642,water,en,0.9999998807907104
644,earth,ar,0.8245625495910645
644,fire,ar,0.8175158500671387
644,global,ar,0.8324506878852844
644,water,ar,0.7576054334640503
646,earth,de,0.9883065223693848
646,fire,de,0.9922043085098267
646,global,de,0.9999998211860657
646,water,de,0.9922041893005371
648,earth,ar,0.6910338401794434
648,fire,ar,0.7916526198387146
648,global,ar,0.5900435447692871
648,water,ar,0.7115927934646606
650,earth,th,0.9185978770256042
650,fire,th,0.8747930526733398
650,global,th,0.8214222192764282
650,water,th,0.8466068506240845
652,earth,de,0.8444709777832031
652,fire,de,0.8293285369873047
652,global,de,0.8852138519287109
652,water,de,0.8648874163627625
661,earth,ar,0.811552882194519
661,fire,ar,0.8152323365211487
661,global,ar,0.9215774536132812
661,water,ar,0.7725986838340759
662,earth,ar,0.9426892399787903
662,fire,ar,0.9289053678512573
662,global,ar,0.9365725517272949
662,water,ar,0.9273453950881958
664,earth,ru,0.7372409701347351
664,fire,ru,0.769332766532898
664,global,ru,0.8681625127792358
664,water,ru,0.7513275146484375
666,earth,ar,0.838522732257843
666,earth,ru,0.9737769961357117
666,fire,ar,0.8846579790115356
666,fire,ru,0.9789707064628601
666,global,ar,0.8237350583076477
666,global,ru,1.000000238418579
666,water,ar,0.924457848072052
