sample_id,model,rep,lang1,lang2,similarity
475,water,3,de,zh,0.9150960445404053
475,water,4,de,zh,0.9675008058547974
563,earth,0,de,zh,0.9170050621032715
563,earth,1,de,zh,0.9178742170333862
563,earth,2,de,zh,0.9017387628555298
563,earth,3,de,zh,0.9054621458053589
563,earth,4,de,zh,0.9170050621032715
563,fire,0,de,zh,0.8994801640510559
563,fire,1,de,zh,0.9017387628555298
563,fire,2,de,zh,0.8994801640510559
563,fire,3,de,zh,0.9170050621032715
563,fire,4,de,zh,0.9017387628555298
563,global,0,de,zh,0.7491894364356995
563,global,1,de,zh,0.8863329887390137
563,global,2,de,zh,0.7842803597450256
563,global,3,de,zh,0.8863329887390137
563,global,4,de,zh,0.9009777903556824
563,water,0,de,zh,0.9178742170333862
563,water,1,de,zh,0.9017387628555298
563,water,2,de,zh,0.9054621458053589
563,water,3,de,zh,0.9170050621032715
563,water,4,de,zh,0.9170050621032715
590,earth,0,ar,zh,0.7463736534118652
590,earth,1,ar,zh,0.8429795503616333
590,earth,2,ar,zh,0.8805572390556335
590,earth,3,ar,zh,0.8275244832038879
590,earth,4,ar,zh,0.7436665892601013
590,fire,0,ar,zh,0.853262722492218
590,fire,1,ar,zh,0.811677873134613
590,fire,2,ar,zh,0.857574999332428
590,fire,3,ar,zh,0.8768779039382935
590,fire,4,ar,zh,0.792322039604187
590,global,0,ar,zh,0.764890193939209
590,global,1,ar,zh,0.8264746069908142
590,global,2,ar,zh,0.8200520277023315
590,global,3,ar,zh,0.7470090389251709
590,global,4,ar,zh,0.8444479703903198
590,water,0,ar,zh,0.809632420539856
590,water,1,ar,zh,0.7828015089035034
590,water,2,ar,zh,0.8706579208374023
590,water,3,ar,zh,0.8590303659439087
590,water,4,ar,zh,0.8334327936172485
640,earth,0,en,zh,0.5473579168319702
640,earth,1,en,zh,0.5087612867355347
640,earth,2,en,zh,0.57915198802948
640,earth,4,en,zh,0.5117457509040833
640,fire,0,en,zh,0.519511878490448
640,fire,1,en,zh,0.48785877227783203
640,fire,2,en,zh,0.49260687828063965
640,fire,3,en,zh,0.5795025825500488
640,fire,4,en,zh,0.8273231983184814
640,global,0,en,zh,0.32595717906951904
640,global,1,en,zh,0.32595717906951904
640,global,2,en,zh,0.5662865042686462
640,global,3,en,zh,0.32595717906951904
640,global,4,en,zh,0.32595717906951904
640,water,0,en,zh,0.5381034016609192
640,water,1,en,zh,0.548260509967804
640,water,2,en,zh,0.47513100504875183
640,water,4,en,zh,0.48595958948135376
666,earth,0,ar,ru,0.7448023557662964
666,earth,1,ar,ru,0.9340112209320068
666,earth,2,ar,ru,0.9053855538368225
666,earth,3,ar,ru,0.8765291571617126
666,earth,4,ar,ru,0.9262399077415466
666,fire,0,ar,ru,0.8930760622024536
666,fire,1,ar,ru,0.8065617084503174
666,fire,2,ar,ru,0.8130546808242798
666,fire,3,ar,ru,0.9235681295394897
666,fire,4,ar,ru,0.8930760622024536
666,global,0,ar,ru,0.7127108573913574
666,global,1,ar,ru,0.7168378829956055
666,global,2,ar,ru,0.7970468401908875
666,global,3,ar,ru,0.7377675771713257
666,global,4,ar,ru,0.826759934425354
666,water,0,ar,ru,0.9118598699569702
666,water,1,ar,ru,0.8765291571617126
666,water,2,ar,ru,0.8893345594406128
666,water,3,ar,ru,0.8930702805519104
666,water,4,ar,ru,0.8974673748016357
702,earth,0,de,zh,0.607140064239502
702,earth,1,de,zh,0.4945288896560669
702,earth,2,de,zh,0.7043004035949707
702,earth,3,de,zh,0.6443188786506653
702,earth,4,de,zh,0.6443907618522644
702,fire,0,de,zh,0.5601615905761719
702,fire,1,de,zh,0.426033079624176
702,fire,2,de,zh,0.6675755381584167
702,fire,3,de,zh,0.6731952428817749
702,fire,4,de,zh,0.651315450668335
702,global,0,de,zh,0.8330214023590088
702,global,1,de,zh,0.7566008567810059
702,global,2,de,zh,0.840753436088562
702,global,3,de,zh,0.6950714588165283
702,global,4,de,zh,0.8348305225372314
702,water,0,de,zh,0.6218779683113098
702,water,1,de,zh,0.4400385618209839
702,water,2,de,zh,0.4787912964820862
702,water,3,de,zh,0.7035191655158997
